a52dec 0.7.4-9
libcroco 0.6.12+4+g9ad7287-1
libcups 2.2.6-1
libcurl-compat 7.57.0-1
libdaemon 0.14-3
libdatrie 0.2.10-2
libdbusmenu-qt5 0.9.3+16.04.20160218-1
libdc1394 2.2.5-1
libdca 0.0.5-5
libdmtx 0.7.4-6
libdmx 1.1.3-1
libdrm 2.4.89-1
libdv 1.0.0-7
libdvbpsi 1:1.3.1-1
libdvdnav 5.0.3-1
libdvdread 5.0.4-1
libebml 1.3.5-1
libedit 20170329_3.1-1
libelf 0.170-1
libepoxy 1.4.3-1
libev 4.24-1
libevdev 1.5.7-1
libevent 2.1.8-1
libexif 0.6.21-3
libfdk-aac 0.1.5-1
libffi 3.2.1-2
libfontenc 1.1.3-1
libgcrypt 1.8.2-1
libgit2 1:0.26.0-1
libglvnd 1.0.0-1
libgme 0.6.1-1
libgpg-error 1.27-1
libgphoto2 2.5.16-1
libgravatar 17.12.0-1
libgudev 232-1
libgusb 0.2.11-1
libical 3.0.1-1
libice 1.0.9-1
libid3tag 0.15.1b-8
libidn 1.33-2
libidn2 2.0.4-2
libiec61883 1.2.0-4
libieee1284 0.2.11-5
libimobiledevice 1.2.0+66+g5a85432-1
libinput 1.9.4-1
libisofs 1.4.8-1
libjpeg-turbo 1.5.3-1
libkate 0.4.1-5
libkcddb 17.12.0-1
libkcompactdisc 17.12.0-1
libkdcraw 17.12.0-1
libkdegames 17.12.0-1
libkdepim 17.12.0-1
libkeduvocdocument 17.12.0-1
libkexiv2 17.12.0-1
libkeybinder3 0.3.2-1
libkgapi 17.12.0-1
libkipi 17.12.0-1
libkleo 17.12.0-1
libkolabxml 1.1.6-6
libkomparediff2 17.12.0-1
libksane 17.12.0-1
libksba 1.3.5-1
libkscreen 5.11.5-1
libksieve 17.12.0-1
libksysguard 5.11.5-1
libktnef 17.12.0-1
libldap 2.4.45-4
liblqr 0.4.2-1
libmad 0.15.1b-7
libmagick 7.0.7.19-1
libmariadbclient 10.1.30-1
libmatroska 1.4.8-1
libmbim 1.14.2-1
libmm-glib 1.6.12-1
libmms 0.6.4-2
libmng 2.0.3-1
libmnl 1.0.4-1
libmodplug 0.8.9.0-1
libmp4v2 2.0.0-4
libmpc 1.0.3-2
libmpcdec 1:0.1+r475-1
libmpd 11.8.17-3
libmpdclient 2.11-1
libmpeg2 0.5.1-5
libmtp 1.1.14-1
libmusicbrainz5 5.1.0-2
libndp 1.6-1
libnewt 0.52.20-1
libnftnl 1.0.8-1
libnghttp2 1.28.0-1
libnice 0.1.14-1
libnl 3.4.0-1
libnm 1.10.2-1
libnm-glib 1.10.2-1
libnotify 0.7.7-1
libofa 0.9.3-7
libogg 1.3.3-2
libomxil-bellagio 0.9.3-1
libotr 4.1.1-1
libpaper 1.1.24-10
libpcap 1.8.1-2
libpciaccess 0.14-1
libpgm 5.2.122-2
libpipeline 1.5.0-1
libplist 2.0.0+11+gec9ba8b-1
libpng 1.6.34-2
libproxy 0.4.15-6
libpsl 0.19.1-1
libpulse 11.1-1
libpwquality 1.4.0-1
libqaccessibilityclient 0.2.0-2
libqalculate 2.2.0-1
libqmi 1.18.0-1
libraqm 0.3.0-2
libraw 0.18.6-1
libraw1394 2.1.2-1
librsvg 2:2.40.20-1
libsamplerate 0.1.9-1
libsasl 2.1.26-11
libseccomp 2.3.2-1
libsecret 0.18.5+14+g9980655-1
libshout 1:2.4.1-3
libsignon-glib 1.14-2
libsm 1.2.2-2
libsndfile 1.0.28-1
libsodium 1.0.16-1
libsoup 2.60.2-1
libsoxr 0.1.2-1
libspectre 0.2.8-1
libsrtp 1:1.5.4-2
libssh 0.7.5-2
libssh2 1.8.0-2
libstemmer 0+337-2
libsystemd 236.0-2
libtar 1.2.20-3
libtasn1 4.12-2
libteam 1.27-1
libtermkey 0.20-1
libthai 0.1.27-1
libtheora 1.1.1-3
libtiff 4.0.9-1
libtiger 0.3.4-4
libtirpc 1.0.2-1
libtool 2.4.6+40+g6ca5e224-2
libunique 1.1.6-6
libunistring 0.9.8-1
libunwind 1.2.1-1
libupnp 1.6.24-1
libusb 1.0.21-2
libusbmuxd 1.0.10+13+gc724e70-1
libutempter 1.1.6-2
libutil-linux 2.31.1-1
libuv 1.18.0-1
libva 2.0.0-2
libvdpau 1.1.1+3+ga21bf7a-1
libvisual 0.4.0-6
libvncserver 0.9.11-2
libvoikko 4.1.1-1
libvorbis 1.3.5-1
libvpx 1.6.1-1
libvterm 0.1.git1.c4317a6-2
libwacom 0.26-1
libwbclient 4.7.4-1
libwebp 0.6.0-1
libwnck 2.31.0-1
libwnck3 3.24.1-1
libx11 1.6.5-1
libx264-10bit 2:148.20170521-1
libxau 1.0.8-2
libxaw 1.0.13-1
libxcb 1.12-1
libxcomposite 0.4.4-2
libxcursor 1.1.15-1
libxdamage 1.1.4-2
libxdg-basedir 1.2.0-3
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfce4ui 4.12.1-2
libxfce4util 4.12.1-1
libxfixes 5.0.3-1
libxfont2 2.0.3-1
libxft 2.3.2-1
libxi 1.7.9-1
libxinerama 1.1.3-2
libxkbcommon 0.8.0-1
libxkbcommon-x11 0.8.0-1
libxkbfile 1.0.9-1
libxklavier 5.4-2
libxml2 2.9.7+4+g72182550-2
libxmu 1.1.2-1
libxnvctrl 387.34-1
libxpm 3.5.12-1
libxrandr 1.5.1-1
libxrender 0.9.10-1
libxres 1.2.0-1
libxshmfence 1.2-1
libxslt 1.1.32+3+g32c88216-1
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.3-1
libxv 1.0.11-1
libxvmc 1.0.10-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.4-1
libyaml 0.1.7-1
libzip 1.3.0-1
licenses 20171006-1
linux 4.14.10-1
linux-api-headers 4.12.7-1
linux-firmware 20171206.fdee922-1
linux-headers 4.14.10-1
linux-lts 4.9.73-1
linux-lts-headers 4.9.73-1
llvm-libs 5.0.1-1
lm_sensors 3.4.0-2
lmdb 0.9.21-1
logrotate 3.13.0-1
lokalize 17.12.0-1
lsb-release 1.4-14
lua 5.3.4-2
luajit 2.0.5-1
lvm2 2.02.177-1
lz4 1:1.8.0-1
lzo 2.10-1
m4 1.4.18-1
mailcap 2.1.48+14+g5811758-1
mailcommon 17.12.0-1
mailimporter 17.12.0-1
make 4.2.1-2
man-db 2.7.6.1-2
man-pages 4.14-1
marble 17.12.0-1
marble-common 17.12.0-1
mariadb 10.1.30-1
mariadb-clients 10.1.30-1
mbox-importer 17.12.0-1
mdadm 4.0-1
media-player-info 22-2
mesa 17.3.1-2
mesa-demos 8.3.0-4
